Røros Hotell,victim,gang,date,Victim Country,Victim sectors,NumberN/AofN/Aemployees,Sales,Ransom Currency,Ransom Paid
13754,colefabrics,lockbit3,16/3/2024,UK,Industrial,117,$18M,,
13753,duttonbrock,lockbit3,16/3/2024,Canada,Services,120,$17.5M,,
13752,hdstrading,lockbit3,16/3/2024,USA,Services,37,$5.4M,,
13751,newmansonline.co,lockbit3,16/3/2024,UK,Services,N/A,N/A,,
13750,rrib,lockbit3,16/3/2024,Canada,Financial,N/A,N/A,,
13749,triella,lockbit3,16/3/2024,Canada,Technology,<N/A25,<N/A$5M,,
13748,Miki Travel,hunters,16/3/2024,UK,Hospitality,512,$592.4M,,
13747,certifiedcollection,lockbit3,16/3/2024,USA,Services,N/A,N/A,,
13746,Acculabs Inc,ransom,16/3/2024,USA,Industrial,311,$56.6M,,
13745,oyaksgs.tr,lockbit3,15/3/2024,Turkey,Technology,N/A,N/A,,
13744,ATMCo,trigona,15/3/2024,USA,Financial,<N/A25,<N/A$5M,,
13743,elezabypharmacy,lockbit3,15/3/2024,Egypt,Industrial,1337,$244M,,
13742,South St Paul Public Schools,blacksuit,15/3/2024,USA,Education,339,$29.9M,,
13740,ATL Leasing,hunters,15/3/2024,Tunesia,Financial,270,$67.6M,,
13739,education.eeblost,stormous,15/3/2024,Lebanon,Education,N/A,N/A,,
13737,sbmandco,lockbit3,15/3/2024,UK,Services,N/A,N/A,,
13736,rushenergyservices,lockbit3,15/3/2024,USA,Energy,<N/A25,$5.2M,,
13735,worthenind,lockbit3,15/3/2024,USA,Industrial,300,$141.3M,,
13733,Cosmocolor,hunters,14/3/2024,Mexico,Services,1770,$68.8M,,
13732,moperry,lockbit3,14/3/2024,USA,Services,26,$5.9M,,
13731,voidinteractive.net you are welcome in our chat,donutleaks,14/3/2024,Ireland,Entertainment,N/A,N/A,,
13730,dhanisisd.net,lockbit3,14/3/2024,USA,Public,91,$17.3M,,
13729,journeyfreight,lockbit3,14/3/2024,Canada,Services,132,$42.1M,,
13728,mioa.gov,stormous,14/3/2024,Macedonia,Public,N/A,N/A,,
13727,Keboda Technology Co.,bianlian,14/3/2024,China,Industrial,31,$5.2M,,
13726,iamdesign,abyss,14/3/2024,Italy,Industrial,<N/A25,$11.2M,,
13725,gfad,blackbasta,14/3/2024,Germany,Technology,62,$10.1M,,
13724,yarco,abyss,14/3/2024,USA,Services,299,$84.7M,,
13723,McKim & Creed,ransomhub,13/3/2024,USA,Services,601,$85.4M,,
13721,Summit Almonds,akira,13/3/2024,USA,Services,26,<N/A$5M,,
13720,Encina Wastewater Authority,blackbyte,13/3/2024,USA,Services,89,$108.3M,,
13719,Judge Rotenberg Center,blacksuit,13/3/2024,USA,Education,755,$74.5M,,
13718,geruestbau,lockbit3,13/3/2024,Germany,Services,35,$9M,,
13717,Felda Global Ventures Holdings Berhad,qilin,13/3/2024,Malaysia,Hospitality,45000,$12.2B,,
13716,SBM & Co,ransomhub,13/3/2024,UK,Services,11-50,N/A,,
13714,Dörr Group,snatch,13/3/2024,Germany,Construction,51-200,N/A,,
13713,Kovra,ransomhub,13/3/2024,Malaysia,Services,N/A,N/A,,
13712,Forstinger Österreich GmbH,8base,13/3/2024,Germany,Services,680,N/A,,
13711,Brewer Davidson,8base,13/3/2024,New Zealand,Industrial,<N/A25,<N/A$5M,,
13710,vsexshop.ru,werewolves,13/3/2024,Russia,Services,N/A,N/A,,
13709,ATL,hunters,12/3/2024,Tunesia,Services,27,$6.1M,,
13706,duvel | boulevard,blackbasta,12/3/2024,Belgium,Hospitality,171,N/A,,
13702,Hu********.ca,cloak,12/3/2024,Canada,N/A,N/A,N/A,,
13701,Kenneth Young Center,medusalocker,12/3/2024,USA,Healthcare,204,$11.3M,,
13700,sunholdings.net,lockbit3,12/3/2024,USA,Hospitality,33000,$563.8M,,
13699,xcelbrands,blackbasta,12/3/2024,USA,Services,34,$13.9M,,
13698,cpacsystems.se,blackbasta,12/3/2024,Sweden,Industrial,120,$53.9M,,
13697,elmatic,blackbasta,12/3/2024,Germany,Construction,635,$6M,,
13696,keystonetech,blackbasta,12/3/2024,USA,Industrial,341,$24.4M,,
13695,dutyfreeamericas,blackbasta,12/3/2024,USA,Consumer,2691,$1.5B,,
13694,sierralobo,blackbasta,12/3/2024,USA,Industrial,800,$82.3M,,
13693,contechs.co,blackbasta,12/3/2024,UK,Industrial,574,$36.5M,,
13692,creativeenvironments,blackbasta,12/3/2024,USA,Construction,200,$70.4M,,
13691,linksunlimited,blackbasta,12/3/2024,USA,Services,105,$84.9M,,
13690,imperialtrading,blackbasta,12/3/2024,USA,Services,278,$297.5M,,
13689,Brooks Tropicals,rhysida,12/3/2024,USA,Hospitality,169,$78.8M,,
13688,WALKERSANDFORD,blacksuit,12/3/2024,UK,Services,<N/A25,<N/A$5M,,
13687,Withall,blacksuit,12/3/2024,UK,Services,11-50,N/A,,
13686,Kaplan,hunters,12/3/2024,USA,Energy,10000,$1.1B,,
13685,Sprimoglass,8base,12/3/2024,Belgium,Industrial,289,$11.5M,,
13684,CHRG,8base,12/3/2024,Australia,Entertainment,201-500,N/A,,
13683,Federchimica,8base,12/3/2024,Italy,Industrial,94000,N/A,,
13682,Bechtold,play,11/3/2024,Germany,Construction,N/A,N/A,,
13681,Zips Car Wash,play,11/3/2024,USA,Services,1917,$392.9M,,
13680,Schokinag,play,11/3/2024,Germany,Hospitality,136,$6.8M,,
13679,Image Pointe,play,11/3/2024,USA,Services,39,$8.6M,,
13678,Ruda Auto,play,11/3/2024,USA,Industrial,<N/A25,<N/A$5M,,
13677,White Oak Partners,play,11/3/2024,USA,Services,71,$14.4M,,
13676,Canada Revenue Agency,play,11/3/2024,Canada,Services,59155,N/A,,
13675,Fashion UK,play,11/3/2024,UK,Industrial,51-200,N/A,,
13674,Grassmid Transport,play,11/3/2024,USA,Transportation,<N/A25,$7.8M,,
13673,Bridger Insurance,play,11/3/2024,USA,Financial,29,$6.5M,,
13672,BiTec,play,11/3/2024,USA,Technology,<N/A25,$6.3M,,
13671,QI Group,play,11/3/2024,Canada,Services,<N/A25,$7.4M,,
13670,QEO Group,play,11/3/2024,USA,Construction,87,$58.8M,,
13669,SREE Hotels,play,11/3/2024,USA,Hospitality,85,$119M,,
13668,leclondon,lockbit3,11/3/2024,UK,Healthcare,11-50,N/A,,
13667,londonvisionclinic,lockbit3,11/3/2024,UK,Healthcare,27,$6.3M,,
13666,Premier Technology,play,11/3/2024,USA,Technology,1316,$982M,,
13665,Computan,ransomhub,11/3/2024,Canada,Technology,95,$17.8M,,
13663,plymouth,cactus,11/3/2024,USA,Industrial,N/A,N/A,,
13661,neigc,abyss,11/3/2024,USA,Construction,220,$143.6M,,
13660,cleshar.co,cactus,11/3/2024,UK,Construction,376,$239.3M,,
13659,NetVigour,hunters,11/3/2024,USA,Technology,25,$6.6M,,
13658,gpaa.gov.za,lockbit3,11/3/2024,South Africa,Public,N/A,N/A,,
13657,renypicot.es,cactus,11/3/2024,Spain,Industrial,566,$911.7M,,
13656,ammega,cactus,11/3/2024,Netherlands,Industrial,6000,$1.6B,,
13654,Scadea Solutions,ransomhub,11/3/2024,USA,Technology,83,$22.1M,,
13652,consorzioinnova.it,mydata,9/3/2024,Italy,Construction,72,$10.3M,,
13651,DVT,ransomhub,9/3/2024,UK,Healthcare,501-1000,N/A,,
13649,go4kora,ransomhub,9/3/2024,Egypt,Entertainment,N/A,N/A,,
13648,Rekamy,ransomhub,9/3/2024,Malaysia,Technology,11-50,N/A,,
13647,H + G EDV Vertriebs,blacksuit,9/3/2024,Germany,Technology,N/A,N/A,,
13646,Lindsay Municipal Hospital,bianlian,9/3/2024,USA,Healthcare,36,$13.8M,,
13645,Fincasrevuelta,everest,9/3/2024,Spain,Hospitality,<N/A25,<N/A$5M,,
13644,Group Healthcare Cooperative,blacksuit,9/3/2024,USA,Technology,6000,N/A,,
13641,ACE Air Cargo,hunters,9/3/2024,USA,Services,137,$23.8M,,
13640,Watsonclinic,donutleaks,9/3/2024,USA,Research,1707,$118.2M,,
13638,redwoodcoastrc,lockbit3,8/3/2024,USA,Services,97,$125.1M,,
13637,PowerRail Distribution,blacksuit,8/3/2024,USA,Industrial,98,$27.6M,,
13635,Denninger’s,medusalocker,8/3/2024,Canada,Hospitality,300,$63.8M,,
13634,Hozzify,ransomhub,8/3/2024,Colombia,Industrial,N/A,N/A,,
13633,SIEA,ransomhub,8/3/2024,Slovakia,Hospitality,N/A,N/A,,
13632,elsapspa,donex,8/3/2024,Italy,Industrial,N/A,N/A,,
13631,PFLEET,donex,8/3/2024,USA,Financial,N/A,N/A,,
13630,vdhelm,donex,8/3/2024,Netherlands,Transportation,<N/A25,<N/A$5M,,
13629,mirel,donex,8/3/2024,Belgium,Services,N/A,N/A,,
13628,CHOCOTOPIA,donex,8/3/2024,Czech Republic,Entertainment,51-200,N/A,,
13627,rmhfranchise,lockbit3,7/3/2024,USA,Hospitality,261,<N/A$5M,,
13626,New York Home Healthcare,bianlian,7/3/2024,USA,Healthcare,N/A,N/A,,
13625,Palmer Construction Co.,bianlian,7/3/2024,USA,Construction,28,$13.7M,,
13624,enactarchitecture,qilin,7/3/2024,France,Industrial,<N/A25,<N/A$5M,,
13623,SP Mundi,ransomhub,7/3/2024,Brazil,Financial,2-10,N/A,,
13622,Merchant ID,ransomhub,7/3/2024,Indonesia,Communication,N/A,N/A,,
13621,duvel,stormous,7/3/2024,Belgium,Hospitality,472,$17.8M,,
13620,loghmanpharma,stormous,7/3/2024,Iran,Industrial,201-500,N/A,,
13618,Continental Aerospace Technologies,play,6/3/2024,USA,Services,180,$91.6M,,
13617,MainVest,play,6/3/2024,USA,Financial,N/A,N/A,,
13616,US #1364 Federal Credit Union,medusalocker,6/3/2024,USA,Financial,<N/A25,$5.2M,,
13615,American Renal Associates,medusalocker,6/3/2024,USA,Healthcare,4752,$752.3M,,
13614,JVCKENWOOD,medusalocker,6/3/2024,Thailand,Technology,N/A,N/A,,
13613,Tocci Building Corporation,medusalocker,6/3/2024,USA,Construction,92,$30.2M,,
13612,Haivision MCS,medusalocker,6/3/2024,USA,Technology,328,$102.5M,,
13611,viadirectamarketing,stormous,6/3/2024,Spain,Communication,<N/A25,<N/A$5M,,
13610,Liquid Environmental Solutions,ransom,6/3/2024,USA,Services,881,$681.3M,,
13609,Infosoft,akira,6/3/2024,New Zealand,Technology,185,$15M,,
13608,brightwires.sa,qilin,6/3/2024,Saudi Arabia,Technology,83,$25M,,
13607,Telecentro,akira,6/3/2024,Argentina,Media,833,$134.3M,,
13606,Medical Billing Specialists,akira,6/3/2024,USA,Services,64,<N/A$5M,,
13605,Steiner (Austrian furniture makers),akira,6/3/2024,Austria,Industrial,800,$61M,,
13604,Biomedical Research Institute,meow,6/3/2024,USA,Research,28,$5.1M,,
13603,Global Zone,8base,6/3/2024,Australia,Technology,<N/A25,<N/A$5M,,
13602,Kudulis Reisinger Price,8base,6/3/2024,USA,Services,<N/A25,<N/A$5M,,
13601,Enplast,8base,6/3/2024,Spain,Industrial,119,$6.5M,,
13600,Mediplast AB,8base,6/3/2024,Sweden,Healthcare,114,$25M,,
13598,airbogo,stormous,5/3/2024,South Korea,Transportation,N/A,N/A,,
13597,sunwave.cn,lockbit3,5/3/2024,China,Technology,1212,$1.6B,,
13595,SJCME.EDU,clop,5/3/2024,USA,Education,727,N/A,,
13594,central.k12.or,lockbit3,5/3/2024,USA,Education,67,$12.2M,,
13593,hawitagruppe,qilin,5/3/2024,Germany,Hospitality,297,$50.1M,,
13592,iemsc,qilin,5/3/2024,United Arab Emirates,Construction,2000,N/A,,
13591,Future Generations Foundation,meow,5/3/2024,Canada,Industrial,N/A,N/A,,
13590,Seven Seas Group,snatch,5/3/2024,United Arab Emirates,Industrial,710,$326.6M,,
13588,Veeco,medusalocker,4/3/2024,USA,Industrial,1215,$687.4M,,
13587,Paul Davis Restoration,medusalocker,4/3/2024,USA,Public,6000,$1.2B,,
13586,everplast,stormous,4/3/2024,Brazil,Industrial,60,$15.1M,,
13585,dismogas,stormous,4/3/2024,Colombia,Energy,N/A,N/A,,
13584,DiVal Safety Equipment,hunters,4/3/2024,USA,Public,309,$62M,,
13583,America Chung Nam orACN,akira,4/3/2024,USA,Entertainment,410,$201.7M,,
13582,valoremreply,lockbit3,4/3/2024,USA,Technology,378,$47M,,
13581,jovani,lockbit3,4/3/2024,USA,Industrial,47,$30.6M,,
13580,Martin's,bianlian,4/3/2024,USA,Construction,N/A,N/A,,
13579,Chris Argiropoulos Professional,medusalocker,3/3/2024,Canada,Services,<N/A25,<N/A$5M,,
13578,Eastern Rio Blanco Metropolitan,medusalocker,3/3/2024,USA,Transportation,N/A,N/A,,
13577,Centennial Law Group LLP,medusalocker,3/3/2024,Canada,Public,<N/A25,<N/A$5M,,
13576,Sophiahemmet University,medusalocker,3/3/2024,Sweden,Education,812,$88.7M,,
13575,Prompt Financial Solutions,medusalocker,3/3/2024,Canada,Financial,<N/A25,$5.9M,,
13574,THESAFIRCHOICE,clop,3/3/2024,USA,Consumer,N/A,N/A,,
13573,THAISUMMIT,clop,3/3/2024,USA,Industrial,731,$92.8M,,
13572,ipmaltamira,alphv,3/3/2024,Mexico,Technology,N/A,N/A,,
13571,earnestHealthcare,lockbit3,3/3/2024,USA,Healthcare,1368,$188.2M,,
13570,Ward Transport & Logistics,dragonforce,3/3/2024,USA,Transportation,1400,$457.2M,,
13568,Stoney Creek Furniture,medusalocker,3/3/2024,Canada,Industrial,87,$19.7M,,
13567,Ewig Usa,alphv,3/3/2024,China,Industrial,3938,$741.8M,,
13566,stockdevelopment,lockbit3,3/3/2024,USA,Hospitality,320,$165.5M,,
13565,aerospace,lockbit3,2/3/2024,USA,Transportation,N/A,N/A,,
13564,smuldes,lockbit3,2/3/2024,Belgium,Industrial,534,$609.1M,,
13563,unitednotions,lockbit3,2/3/2024,USA,Industrial,70,$29.4M,,
13562,schuettgrundei,lockbit3,2/3/2024,Germany,Healthcare,N/A,N/A,,
13561,roehrstolberg,lockbit3,2/3/2024,Germany,Industrial,N/A,N/A,,
13560,starkpower,lockbit3,2/3/2024,Germany,Energy,N/A,N/A,,
13559,esserps,lockbit3,2/3/2024,Germany,Industrial,N/A,N/A,,
13556,Trans+Plus Systems,play,2/3/2024,Canada,Transportation,42,$7.9M,,
13555,Powill Manufacturing & Engineering,play,2/3/2024,USA,Industrial,85,$17.1M,,
13554,A&A Wireless,play,2/3/2024,USA,Technology,11-50,N/A,,
13553,American Nuts,play,2/3/2024,USA,Hospitality,247,$104.2M,,
13552,Skyland Grain,play,2/3/2024,USA,Consumer,400,$25.3M,,
13551,Hedlunds,play,1/3/2024,Sweden,Industrial,N/A,N/A,,
13550,Koolair,play,1/3/2024,Canada,Services,269,$25.6M,,
13549,Influence Communication,play,1/3/2024,Canada,Communication,80,$17.2M,,
13548,New Bedford Welding Supply,play,1/3/2024,USA,Services,28,$7.4M,,
13547,Coastal Car,play,1/3/2024,USA,Consumer,61,$5.7M,,
13546,Stack Infrastructure,play,1/3/2024,USA,Technology,724,$176.5M,,
13545,Marketon,play,1/3/2024,USA,Financial,<N/A25,$12M,,
13544,Winona Pattern & Mold,play,1/3/2024,USA,Services,<N/A25,$6.7M,,
13543,Compact Mould,play,1/3/2024,Canada,Energy,105,$18.5M,,
13542,Red River Title,play,1/3/2024,USA,Financial,<N/A25,$7.2M,,
13541,FBi Construction,play,1/3/2024,USA,Healthcare,100,$8.2M,,
13540,SBM & Co,alphv,1/3/2024,UK,Services,11-50,N/A,,
13538,Shooting House,ransomhub,1/3/2024,Brazil,Construction,N/A,N/A,,
13537,Petrus Resources Ltd,alphv,1/3/2024,Canada,Energy,<N/A25,$82M,,
13536,Gilmore Construction,blacksuit,1/3/2024,USA,Construction,35,$9.1M,,
13535,Crystal Window & Door Systems,dragonforce,1/3/2024,USA,Industrial,372,$209.3M,,
13534,Gansevoort Hotel Group,akira,1/3/2024,USA,Consumer,88,$6.5M,,
13533,Core,akira,1/3/2024,Canada,Technology,N/A,N/A,,
13529,Kumagai Gumi Group,alphv,1/3/2024,Japan,Construction,2626,$2.7B,,
13528,Gilmore & Associates,play,29/2/2024,USA,Services,138,$26.5M,,
13527,Allan Berger & Associates,alphv,29/2/2024,USA,Services,<N/A25,<N/A$5M,,
13526,hvd.host,blackbasta,29/2/2024,Australia,Technology,N/A,N/A,,
13525,Artissimo Designs,dragonforce,29/2/2024,USA,Industrial,73,$68.4M,,
13524,Erwat,dragonforce,29/2/2024,South Africa,Energy,697,$55.6M,,
13523,Faison,dragonforce,29/2/2024,USA,Hospitality,110,$27.9M,,
13522,Array Networks,dunghill_leak,29/2/2024,USA,Technology,239,$40.8M,,
13521,goodinabernathy,blackbasta,29/2/2024,USA,Services,<N/A25,$5.7M,,
13520,scullionlaw,blackbasta,29/2/2024,UK,Services,27,<N/A$5M,,
13519,fcw.ch,blackbasta,29/2/2024,Switzerland,Consumer,60,$12.3M,,
13518,haas4,blackbasta,29/2/2024,USA,Industrial,249,$54.5M,,
13517,alanritchey,blackbasta,29/2/2024,USA,Transportation,1423,$157.6M,,
13516,Benthanh Group,ransomhub,29/2/2024,Vietnam,Financial,28,$7.5M,,
13512,sunharbormanor,abyss,29/2/2024,USA,Healthcare,314,$29.6M,,
13511,HSPG & Associates,snatch,29/2/2024,USA,Financial,<N/A25,<N/A$5M,,
13500,gapsolutions.au,lockbit3,29/2/2024,Australia,Retail,72,$15.2M,,
13499,Essential Labs,8base,29/2/2024,USA,Healthcare,90,<N/A$5M,,
13498,HAL Allergy,ransomhouse,28/2/2024,Netherlands,Industrial,295,$61.1M,,
13497,Dinamic Oil,trigona,28/2/2024,Italy,Energy,266,$10.6M,,
13495,Hotel Avenida,trigona,28/2/2024,Spain,Hospitality,32,$6.6M,,
13494,easternshipbuilding,lockbit3,28/2/2024,USA,Construction,1300,$353M,,
13493,J A Piper Roofing,blacksuit,28/2/2024,USA,Construction,78,$19.9M,,
13491,etairosHealthcare,qilin,28/2/2024,USA,Research,N/A,N/A,,
13490,DTN Management Company,akira,28/2/2024,USA,Hospitality,298,$26.3M,,
13489,Change Healthcare Optum UnitedHealthcare,alphv,28/2/2024,USA,Research,N/A,N/A,,
13487,Medall Healthcare Pvt Ltd.,bianlian,28/2/2024,India,Healthcare,N/A,N/A,,
13486,sundbirsta,lockbit3,28/2/2024,Sweden,Public,82,$20.8M,,
13485,vertdure,lockbit3,28/2/2024,Canada,Technology,681,$13.8M,,
13484,abtexelgroup,cactus,28/2/2024,Netherlands,Hospitality,448,$222.6M,,
13482,Frencken,snatch,28/2/2024,Malaysia,Industrial,N/A,N/A,,
13480,Orange Public School District,ransom,28/2/2024,USA,Education,474,$48.6M,,
13479,Bertani Trasporti Spa,8base,28/2/2024,Italy,Transportation,591,$9M,,
13478,Saudia MRO,8base,28/2/2024,Saudi Arabia,Construction,N/A,N/A,,
13477,RWF Frömelt,8base,28/2/2024,Austria,Services,N/A,N/A,,
13476,ROYAL INSIGNIA,8base,28/2/2024,Singapore,Consumer,68,$6.5M,,
13475,Acies Srl,8base,28/2/2024,Italy,Services,<N/A25,<N/A$5M,,
13474,verbraucherzentrale hessen,alphv,27/2/2024,Germany,Services,2505,$562M,,
13472,npgandour,lockbit3,27/2/2024,Ivory Coast,Services,223,$26.9M,,
13471,JS International,medusalocker,27/2/2024,USA,Retail,104,$29.1M,,
13469,Electro Marteix,alphv,27/2/2024,Spain,Technology,<N/A25,<N/A$5M,,
13468,mooretibbits.co,threeam,27/2/2024,UK,Services,N/A,N/A,,
13467,Ann & Robert H. Lurie Children's Hospital of Chicago,rhysida,27/2/2024,USA,Healthcare,6400,$88.6M,,
16252,Allied Industrial Group,akira,8/7/2024,USA,Industrial,87,<N/A$5M,,
13464,WEL Partners,ransom,27/2/2024,Canada,Services,<N/A25,<N/A$5M,,
13462,Ironrock,rhysida,26/2/2024,USA,Industrial,133,$22.8M,,
13461,metal7,blackout,26/2/2024,Canada,Industrial,213,$21M,,
13460,charmentieres.fr,blackout,26/2/2024,France,Healthcare,N/A,N/A,,
13459,PEDDIE,clop,26/2/2024,USA,Education,369,$30.3M,,
13458,prattindustries,lockbit3,26/2/2024,USA,Industrial,10000,$4B,,
13457,Penn Cinema,medusalocker,26/2/2024,USA,Entertainment,67,$13.4M,,
13456,GCA Nederland,ransomhouse,26/2/2024,Netherlands,Transportation,N/A,N/A,,
13454,Headwater Companies LLC,ransomhub,26/2/2024,USA,Retail,148,$11.7M,,
13452,Southwest Industrial Sales,medusalocker,26/2/2024,USA,Industrial,<N/A25,<N/A$5M,,
13451,Angeles Medical Centers,alphv,26/2/2024,USA,Healthcare,68,$23.6M,,
13450,The Professional Liability Fund,medusalocker,26/2/2024,USA,Financial,N/A,N/A,,
13449,Bjuvs kommun,akira,26/2/2024,Sweden,Public,93,$29.9M,,
13448,Webber International University,ransomhouse,26/2/2024,USA,Education,128,$9M,,
13447,S+C Partners,alphv,26/2/2024,Canada,Industrial,86,$19.6M,,
13446,BRADSHAWMEDICAL,clop,24/2/2024,USA,Healthcare,155,$2M,,
13445,ernestHealthcare,lockbit3,26/2/2024,USA,Healthcare,1368,$188.2M,,
13444,silganholdings,lockbit3,26/2/2024,USA,Industrial,14520,$5.9M,,
13437,Pot O’ Gold Coffee,ciphbit,25/2/2024,USA,Hospitality,<N/A25,<N/A$5M,,
13435,AL SHEFA FARM,ransomhub,25/2/2024,Romania,Healthcare,N/A,N/A,,
13434,dunaway,lockbit3,25/2/2024,USA,Services,222,$141.3M,,
13432,nationaldentex,lockbit3,25/2/2024,USA,Healthcare,4000,$813.9M,,
13431,crbgroup,lockbit3,25/2/2024,USA,Services,1700,$323.9M,,
13429,equilend,lockbit3,25/2/2024,USA,Services,347,$26M,,
13428,Wangkanai Group,ransomhouse,24/2/2024,Thailand,Industrial,778,$341M,,
13427,Spine West,monti,24/2/2024,USA,Healthcare,31,<N/A$5M,,
13425,Roncelli Plastics,bianlian,24/2/2024,USA,Industrial,53,$22M,,
13424,kinematica.ch,qilin,24/2/2024,Switzerland,Research,<N/A25,$18.3M,,
13423,GRUPOCREATIVO,qilin,24/2/2024,Ecuador,Industrial,<N/A25,<N/A$5M,,
13421,Welch's,play,23/2/2024,USA,Hospitality,1250,$669.9M,,
13420,IJM Corporation,hunters,23/2/2024,Malaysia,Construction,3800,$1.2B,,
13419,Family Healthcare center,alphv,23/2/2024,USA,Healthcare,142,$20.2M,,
13417,remkes.nl,cactus,23/2/2024,Netherlands,Hospitality,350,$31.4M,,
13416,Rapid Granulator,ransomhouse,23/2/2024,Sweden,Industrial,81,$27.2M,,
13415,BM Catalysts bmcatalysts.co,alphalocker,14/2/2024,UK,Industrial,215,$36.1M,,
13414,Ponoka.ca,cloak,23/2/2024,Canada,Public,30,<N/A$5M,,
13413,APEX apexspedition,monti,23/2/2024,Germany,Transportation,<N/A25,<N/A$5M,,
13412,Pressco Technology,medusalocker,23/2/2024,USA,Industrial,147,$19.2M,,
13411,Acorn,medusalocker,23/2/2024,UK,Financial,501-1000,N/A,,
13410,"Hypertension Nephrology Associates, P.C.",bianlian,23/2/2024,USA,Healthcare,36,$12.1M,,
13409,ANDFLA SRL,alphv,23/2/2024,Romania,Hospitality,N/A,N/A,,
13407,W???h?,play,22/2/2024,USA,N/A,N/A,N/A,,
13405,Quik Pawn Shop,akira,22/2/2024,USA,Energy,<N/A25,<N/A$5M,,
13404,abcor.au,threeam,22/2/2024,Australia,Industrial,308,$5.6M,,
13403,mtmrobotics,threeam,22/2/2024,USA,Industrial,28,<N/A$5M,,
13402,PEER Consultants,akira,22/2/2024,USA,Services,73,$17.7M,,
13401,usmerchants,blackbasta,22/2/2024,USA,Industrial,1297,$208.8M,,
13400,climatech,blackbasta,22/2/2024,USA,Industrial,100,$21.1M,,
13399,nfllp,blackbasta,22/2/2024,USA,Hospitality,27,$6.1M,,
13398,Hardeman County Community Healthcare Center,alphv,22/2/2024,USA,Healthcare,88,$9.2M,,
13397,zirco,blackbasta,22/2/2024,Australia,Services,137,$61.3M,,
13396,dilweg,blackbasta,22/2/2024,USA,Financial,87,$23.1M,,
13395,birchallfoodservice.co,blackbasta,22/2/2024,UK,Hospitality,142,$9.1M,,
13391,KHSS,alphv,21/2/2024,USA,Services,363,$1.6B,,
13390,Desarrollo De Tecnologia y Sistemas Ltda,akira,21/2/2024,Chile,Technology,91,$6.4M,,
13389,Lancaster,akira,21/2/2024,USA,Services,N/A,N/A,,
13388,Marchassociates,bianlian,21/2/2024,USA,Construction,83,$20.1M,,
13387,HRTec Inc,bianlian,21/2/2024,USA,Construction,28,$5M,,
13386,Austen Consultants,alphv,21/2/2024,USA,Technology,<N/A25,<N/A$5M,,
13385,dasteam.ch,blackbasta,21/2/2024,Switzerland,Services,51-200,$1M-$2M,,
13384,doneff,threeam,21/2/2024,USA,Consumer,31,$9.2M,,
13383,Axel Johnson,8base,21/2/2024,Sweden,Hospitality,25000,$8.6M,,
13382,Helical Technology,8base,21/2/2024,UK,Research,201-500,$20M,,
13381,Speditionweise,cloak,20/2/2024,Germany,Transportation,N/A,N/A,,
13380,theharriscenter,cloak,20/2/2024,USA,Services,2091,$274.8M,,
13379,wencor,cloak,20/2/2024,USA,Technology,616,$158M,,
13377,River Delta Unified School District,meow,20/2/2024,USA,Education,78,$15.5M,,
13376,Finlay Screening & Crushing Systems,hunters,20/2/2024,Australia,Industrial,75,$19.4M,,
13375,advancedprosolutions,cactus,20/2/2024,USA,Services,N/A,N/A,,
13374,Raocala,everest,20/2/2024,USA,Healthcare,80,$6.1M,,
13373,loransrl,qilin,19/2/2024,Italy,Technology,25,$7M,,
13372,soco,lockbit3,19/2/2024,Belgium,Industrial,N/A,N/A,,
13368,se,cactus,19/2/2024,France,Energy,N/A,N/A,,
13367,First Professional Services,bianlian,19/2/2024,USA,Services,<N/A25,<N/A$5M,,
13364,ki.se,trisec,19/2/2024,Sweden,Education,5143,$851.5M,,
13363,aivi.it,trisec,19/2/2024,Italy,Healthcare,2-10,N/A,,
13362,Westward 360,dragonforce,19/2/2024,USA,Services,171,$34M,,
13361,Compression Leasing Services,dragonforce,19/2/2024,USA,Services,80,$21.7M,,
13360,aeromechinc,lockbit3,18/2/2024,USA,Education,43,$9.2M,,
13359,carlfischer,lockbit3,18/2/2024,USA,Entertainment,33,$7.3M,,
13358,Bimbo Bakeries,medusalocker,18/2/2024,Mexico,Hospitality,10129,$8.4B,,
13357,bucherstrauss.ch,lockbit3,18/2/2024,Switzerland,Financial,<N/A25,<N/A$5M,,
13355,calcomp.co.th,stormous,14/2/2024,Thailand,Industrial,22508,$4B,,
13354,bombaygrills,stormous,14/2/2024,Croatia,Hospitality,<N/A25,<N/A$5M,,
13353,delia.pl,stormous,16/2/2024,Poland,Industrial,329,$50.9M,,
13352,VSP Dental,alphv,18/2/2024,USA,Healthcare,<N/A25,<N/A$5M,,
13345,antunovich,blacksuit,17/2/2024,USA,Industrial,100,$19.1M,,
13344,Wapiti Energy,hunters,17/2/2024,USA,Energy,61,$26.8M,,
13343,BS&B Safety Systems L.L.C,hunters,17/2/2024,Ireland,Industrial,343,$68.5M,,
13342,Chicago Zoological Society,hunters,17/2/2024,USA,Public,694,$71.2M,,
13341,Aftrp,hunters,17/2/2024,France,Services,N/A,N/A,,
13340,Voice Technologies,hunters,17/2/2024,UK,Technology,29,<N/A$5M,,
13339,Tiete Automobile,hunters,17/2/2024,Brazil,Industrial,81,$26.2M,,
13338,Greater Napanee,hunters,17/2/2024,Canada,Public,267,$53.1M,,
13337,PSI,hunters,17/2/2024,USA,Services,<N/A25,$5M,,
13336,CP Communications,hunters,17/2/2024,USA,Media,89,$22.5M,,
